question,ground_truth,contexts,evolution_type
"Báo cáo tài chính BCTC bao gồm những phần chính nào?","BCTC gồm bảng cân đối kế toán, báo cáo kết quả hoạt động kinh doanh, báo cáo lưu chuyển tiền tệ và thuyết minh báo cáo tài chính.","['Báo cáo tài chính (BCTC) bao gồm 4 phần chính: Bảng cân đối kế toán, Báo cáo kết quả hoạt động kinh doanh, Báo cáo lưu chuyển tiền tệ và Thuyết minh BCTC.']",simple
"Doanh thu thuần của công ty trong năm là bao nhiêu?","Doanh thu thuần năm hiện tại đạt khoảng 1,250 tỷ đồng, tăng 12% so với cùng kỳ.","['Doanh thu thuần đạt 1.250 tỷ đồng, tăng trưởng 12% so với năm trước nhờ mở rộng kênh phân phối.']",simple
"Lợi nhuận sau thuế được tính như thế nào?","Lợi nhuận sau thuế = Lợi nhuận trước thuế - Chi phí thuế thu nhập doanh nghiệp.","['Lợi nhuận sau thuế (PAT) là kết quả của Lợi nhuận trước thuế trừ đi chi phí thuế TNDN hiện hành và thuế hoãn lại.']",simple
"Nghị định 13/2023 ban hành ngày nào?","Nghị định 13/2023/NĐ-CP ban hành ngày 17/04/2023, có hiệu lực từ 01/07/2023.","['Chính phủ ban hành Nghị định số 13/2023/NĐ-CP ngày 17 tháng 04 năm 2023 về bảo vệ dữ liệu cá nhân.']",simple
"Dữ liệu cá nhân theo Nghị định 13 được định nghĩa thế nào?","Dữ liệu cá nhân là thông tin dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh gắn liền với một cá nhân hoặc giúp xác định một cá nhân cụ thể.","['Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể.']",simple
"Có bao nhiêu loại dữ liệu cá nhân theo Nghị định 13?","Có 2 loại: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.","['Nghị định 13 phân loại dữ liệu cá nhân thành dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.']",simple
"Dữ liệu cá nhân nhạy cảm bao gồm những gì?","Dữ liệu nhạy cảm bao gồm: quan điểm chính trị, tình trạng sức khỏe, dữ liệu di truyền, dữ liệu sinh trắc học, tài chính, vị trí địa lý, quan điểm tôn giáo, tình trạng pháp lý và xu hướng giới tính.","['Dữ liệu cá nhân nhạy cảm gồm: quan điểm chính trị, tôn giáo, sức khỏe, sinh trắc học, di truyền, vị trí địa lý, tài chính, lý lịch pháp lý, xu hướng giới tính.']",simple
"Quyền của chủ thể dữ liệu là gì?","Chủ thể dữ liệu có quyền biết, đồng ý, truy cập, rút lại sự đồng ý, xóa, hạn chế, cung cấp, phản đối xử lý, khiếu nại, tố cáo, yêu cầu bồi thường thiệt hại và tự bảo vệ.","['Chủ thể dữ liệu có 11 quyền cơ bản theo Điều 9 của Nghị định 13/2023.']",simple
"Tài sản ngắn hạn bao gồm những khoản nào?","Tài sản ngắn hạn gồm tiền và tương đương tiền, đầu tư ngắn hạn, khoản phải thu ngắn hạn, hàng tồn kho và tài sản ngắn hạn khác.","['Tài sản ngắn hạn trên bảng cân đối kế toán bao gồm các khoản mục: tiền, tương đương tiền, đầu tư tài chính ngắn hạn, phải thu, hàng tồn kho.']",simple
"Nợ phải trả gồm những loại nào?","Nợ phải trả gồm nợ ngắn hạn (dưới 1 năm) và nợ dài hạn (trên 1 năm).","['Theo nguyên tắc kế toán, nợ phải trả được phân loại theo thời hạn: nợ ngắn hạn và nợ dài hạn.']",simple
"Vốn chủ sở hữu là gì?","Vốn chủ sở hữu là phần giá trị tài sản còn lại sau khi trừ nợ phải trả, gồm vốn góp, các quỹ, lợi nhuận chưa phân phối.","['Vốn chủ sở hữu (Equity) = Tổng tài sản - Nợ phải trả, bao gồm vốn điều lệ, lợi nhuận giữ lại và các quỹ.']",simple
"Báo cáo lưu chuyển tiền tệ có những hoạt động nào?","Có 3 hoạt động: hoạt động kinh doanh, hoạt động đầu tư và hoạt động tài chính.","['Báo cáo lưu chuyển tiền tệ phân chia dòng tiền thành 3 nhóm: kinh doanh, đầu tư và tài chính.']",simple
"Ai có thẩm quyền xử lý vi phạm về bảo vệ dữ liệu cá nhân?","Bộ Công an là cơ quan đầu mối, các bộ ngành phối hợp; xử lý hành chính theo nghị định chuyên ngành.","['Bộ Công an được giao thẩm quyền chủ trì xử lý vi phạm về bảo vệ dữ liệu cá nhân.']",simple
"Thời hạn lưu trữ dữ liệu cá nhân tối đa là bao nhiêu?","Thời hạn lưu trữ phải phù hợp với mục đích xử lý và không vượt quá thời hạn do pháp luật quy định, sau đó phải xóa hoặc ẩn danh.","['Dữ liệu cá nhân được lưu trữ tối đa trong thời gian cần thiết để hoàn thành mục đích thu thập.']",simple
"Chi phí tài chính trong BCTC bao gồm gì?","Chi phí tài chính bao gồm chi phí lãi vay, lỗ tỷ giá, lỗ từ đầu tư tài chính và các chi phí tài chính khác.","['Chi phí tài chính chủ yếu là chi phí lãi vay phát sinh từ các khoản vay ngân hàng và phát hành trái phiếu.']",simple
"EBITDA là gì?","EBITDA là lợi nhuận trước lãi vay, thuế và khấu hao.","['EBITDA = Lợi nhuận trước thuế + Lãi vay + Khấu hao tài sản cố định + Khấu hao tài sản vô hình.']",simple
"Cơ cấu vốn của công ty được mô tả thế nào?","Cơ cấu vốn gồm tỷ lệ giữa nợ vay và vốn chủ sở hữu, đo bằng tỷ số D/E.","['Tỷ lệ Nợ/Vốn chủ sở hữu (D/E) phản ánh mức độ đòn bẩy tài chính.']",simple
"Quyền rút lại sự đồng ý của chủ thể dữ liệu có hiệu lực khi nào?","Có hiệu lực ngay sau khi chủ thể dữ liệu thông báo bằng văn bản hoặc phương tiện điện tử cho bên xử lý dữ liệu.","['Việc rút lại sự đồng ý phải được thực hiện đơn giản, không kèm điều kiện, có hiệu lực ngay sau khi nhận được yêu cầu.']",simple
"Tiền và tương đương tiền cuối kỳ là bao nhiêu?","Tiền và tương đương tiền cuối kỳ đạt khoảng 320 tỷ đồng.","['Số dư tiền và tương đương tiền cuối năm đạt 320 tỷ đồng, tăng nhẹ so với đầu năm.']",simple
"Tài sản cố định hữu hình của công ty trị giá bao nhiêu?","Giá trị còn lại của TSCĐ hữu hình khoảng 480 tỷ đồng.","['TSCĐ hữu hình bao gồm nhà xưởng, máy móc thiết bị, giá trị còn lại 480 tỷ đồng sau khấu hao.']",simple
"Tại sao lợi nhuận gộp tăng nhưng lợi nhuận sau thuế lại giảm trong năm?","Vì chi phí tài chính tăng mạnh (do lãi vay tăng) và chi phí quản lý doanh nghiệp tăng đã làm giảm lợi nhuận sau thuế dù lợi nhuận gộp cải thiện.","['Lợi nhuận gộp tăng 18% nhờ kiểm soát giá vốn, nhưng chi phí lãi vay tăng 45% và chi phí quản lý tăng 22% đã làm giảm lợi nhuận ròng.']",reasoning
"So sánh tốc độ tăng trưởng doanh thu và tốc độ tăng trưởng lợi nhuận, cho biết điều này nói lên điều gì?","Doanh thu tăng 12% nhưng lợi nhuận giảm 8% cho thấy biên lợi nhuận đang co lại, có thể do chi phí đầu vào hoặc chi phí tài chính tăng nhanh hơn.","['Doanh thu thuần tăng 12%, trong khi lợi nhuận sau thuế giảm 8% so với năm trước.']",reasoning
"Nếu một bên xử lý dữ liệu nước ngoài thu thập dữ liệu công dân Việt Nam, họ cần làm gì?","Phải tuân thủ Nghị định 13: thông báo cho cơ quan có thẩm quyền, lập đánh giá tác động chuyển dữ liệu xuyên biên giới, có cam kết bảo vệ dữ liệu và đăng ký theo quy định.","['Tổ chức nước ngoài có hoạt động xử lý dữ liệu cá nhân của công dân Việt Nam phải tuân thủ quy định về chuyển dữ liệu xuyên biên giới và lập hồ sơ đánh giá tác động.']",reasoning
"Vì sao D/E ratio cao có thể là dấu hiệu rủi ro?","Vì D/E cao cho thấy công ty phụ thuộc nhiều vào nợ vay, dễ bị tổn thương khi lãi suất tăng hoặc dòng tiền yếu đi, dẫn đến rủi ro không thanh toán được nợ.","['Tỷ lệ D/E cao đồng nghĩa với đòn bẩy tài chính lớn, tăng rủi ro tài chính khi điều kiện vĩ mô bất lợi.']",reasoning
