question,answer,accuracy,relevance,conciseness,helpfulness,overall
Báo cáo tài chính BCTC bao gồm những phần chính nào?,"BCTC gồm bảng cân đối kế toán, báo cáo kết quả hoạt động kinh doanh, báo cáo lưu chuyển tiền tệ và thuyết minh báo cáo tài chính. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",5,4,3,3,3.75
Doanh thu thuần của công ty trong năm là bao nhiêu?,"Doanh thu thuần năm hiện tại đạt khoảng 1,250 tỷ đồng, tăng 12% so với cùng kỳ. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,5,1,4,3.5
Lợi nhuận sau thuế được tính như thế nào?,"Lợi nhuận sau thuế = Lợi nhuận trước thuế - Chi phí thuế thu nhập doanh nghiệp. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",3,5,2,3,3.25
Nghị định 13/2023 ban hành ngày nào?,"Nghị định 13/2023/NĐ-CP ban hành ngày 17/04/2023, có hiệu lực từ 01/07/2023. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",5,5,2,3,3.75
Dữ liệu cá nhân theo Nghị định 13 được định nghĩa thế nào?,"Dữ liệu cá nhân là thông tin dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh gắn liền với một cá nhân hoặc giúp xác định một cá nhân cụ thể. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,5,3,4,4.0
Có bao nhiêu loại dữ liệu cá nhân theo Nghị định 13?,"Có 2 loại: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",5,3,3,4,3.75
Dữ liệu cá nhân nhạy cảm bao gồm những gì?,"Dữ liệu nhạy cảm bao gồm: quan điểm chính trị, tình trạng sức khỏe, dữ liệu di truyền, dữ liệu sinh trắc học, tài chính, vị trí địa lý, quan điểm tôn giáo, tình trạng pháp lý và xu hướng giới tính. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,4,2,4,3.5
Quyền của chủ thể dữ liệu là gì?,"Chủ thể dữ liệu có quyền biết, đồng ý, truy cập, rút lại sự đồng ý, xóa, hạn chế, cung cấp, phản đối xử lý, khiếu nại, tố cáo, yêu cầu bồi thường thiệt hại và tự bảo vệ. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,4,3,4,3.75
Tài sản ngắn hạn bao gồm những khoản nào?,"Tài sản ngắn hạn gồm tiền và tương đương tiền, đầu tư ngắn hạn, khoản phải thu ngắn hạn, hàng tồn kho và tài sản ngắn hạn khác. Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,4,1,3,3.0
Nợ phải trả gồm những loại nào?,"Nợ phải trả gồm nợ ngắn hạn (dưới 1 năm) và nợ dài hạn (trên 1 năm). Đồng thời, các quy định liên quan có thể được tìm thấy ở các văn bản pháp luật hoặc báo cáo tài chính chi tiết, áp dụng theo từng trường hợp cụ thể và phụ thuộc vào điều kiện hoàn cảnh.",4,5,2,4,3.75
