question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
Báo cáo tài chính BCTC bao gồm những phần chính nào?,[Generated answer for: Báo cáo tài chính BCTC bao gồm những phần chính nào?...],"['Báo cáo tài chính (BCTC) bao gồm 4 phần chính: Bảng cân đối kế toán, Báo cáo kết quả hoạt động kinh doanh, Báo cáo lưu chuyển tiền tệ và Thuyết minh BCTC.']","BCTC gồm bảng cân đối kế toán, báo cáo kết quả hoạt động kinh doanh, báo cáo lưu chuyển tiền tệ và thuyết minh báo cáo tài chính.",simple,0.8685,0.8379,0.7689,0.8762
Doanh thu thuần của công ty trong năm là bao nhiêu?,[Generated answer for: Doanh thu thuần của công ty trong năm là bao nhiêu?...],"['Doanh thu thuần đạt 1.250 tỷ đồng, tăng trưởng 12% so với năm trước nhờ mở rộng kênh phân phối.']","Doanh thu thuần năm hiện tại đạt khoảng 1,250 tỷ đồng, tăng 12% so với cùng kỳ.",simple,0.8698,0.7452,0.8132,0.7986
Lợi nhuận sau thuế được tính như thế nào?,[Generated answer for: Lợi nhuận sau thuế được tính như thế nào?...],['Lợi nhuận sau thuế (PAT) là kết quả của Lợi nhuận trước thuế trừ đi chi phí thuế TNDN hiện hành và thuế hoãn lại.'],Lợi nhuận sau thuế = Lợi nhuận trước thuế - Chi phí thuế thu nhập doanh nghiệp.,simple,0.8626,0.8581,0.8032,0.9131
Nghị định 13/2023 ban hành ngày nào?,[Generated answer for: Nghị định 13/2023 ban hành ngày nào?...],['Chính phủ ban hành Nghị định số 13/2023/NĐ-CP ngày 17 tháng 04 năm 2023 về bảo vệ dữ liệu cá nhân.'],"Nghị định 13/2023/NĐ-CP ban hành ngày 17/04/2023, có hiệu lực từ 01/07/2023.",simple,0.9325,0.8577,0.7062,0.7388
Dữ liệu cá nhân theo Nghị định 13 được định nghĩa thế nào?,[Generated answer for: Dữ liệu cá nhân theo Nghị định 13 được định nghĩa thế nào?...],"['Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể.']","Dữ liệu cá nhân là thông tin dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh gắn liền với một cá nhân hoặc giúp xác định một cá nhân cụ thể.",simple,0.8997,0.9418,0.7842,0.8115
Có bao nhiêu loại dữ liệu cá nhân theo Nghị định 13?,[Generated answer for: Có bao nhiêu loại dữ liệu cá nhân theo Nghị định 13?...],['Nghị định 13 phân loại dữ liệu cá nhân thành dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.'],Có 2 loại: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.,simple,0.9225,0.7483,0.7488,0.8592
Dữ liệu cá nhân nhạy cảm bao gồm những gì?,[Generated answer for: Dữ liệu cá nhân nhạy cảm bao gồm những gì?...],"['Dữ liệu cá nhân nhạy cảm gồm: quan điểm chính trị, tôn giáo, sức khỏe, sinh trắc học, di truyền, vị trí địa lý, tài chính, lý lịch pháp lý, xu hướng giới tính.']","Dữ liệu nhạy cảm bao gồm: quan điểm chính trị, tình trạng sức khỏe, dữ liệu di truyền, dữ liệu sinh trắc học, tài chính, vị trí địa lý, quan điểm tôn giáo, tình trạng pháp lý và xu hướng giới tính.",simple,0.9499,0.8332,0.8177,0.8399
Quyền của chủ thể dữ liệu là gì?,[Generated answer for: Quyền của chủ thể dữ liệu là gì?...],['Chủ thể dữ liệu có 11 quyền cơ bản theo Điều 9 của Nghị định 13/2023.'],"Chủ thể dữ liệu có quyền biết, đồng ý, truy cập, rút lại sự đồng ý, xóa, hạn chế, cung cấp, phản đối xử lý, khiếu nại, tố cáo, yêu cầu bồi thường thiệt hại và tự bảo vệ.",simple,0.9426,0.7721,0.8368,0.6988
Tài sản ngắn hạn bao gồm những khoản nào?,[Generated answer for: Tài sản ngắn hạn bao gồm những khoản nào?...],"['Tài sản ngắn hạn trên bảng cân đối kế toán bao gồm các khoản mục: tiền, tương đương tiền, đầu tư tài chính ngắn hạn, phải thu, hàng tồn kho.']","Tài sản ngắn hạn gồm tiền và tương đương tiền, đầu tư ngắn hạn, khoản phải thu ngắn hạn, hàng tồn kho và tài sản ngắn hạn khác.",simple,0.6704,0.8075,0.6884,0.8901
Nợ phải trả gồm những loại nào?,[Generated answer for: Nợ phải trả gồm những loại nào?...],"['Theo nguyên tắc kế toán, nợ phải trả được phân loại theo thời hạn: nợ ngắn hạn và nợ dài hạn.']",Nợ phải trả gồm nợ ngắn hạn (dưới 1 năm) và nợ dài hạn (trên 1 năm).,simple,0.9331,0.7647,0.8647,0.7398
Vốn chủ sở hữu là gì?,[Generated answer for: Vốn chủ sở hữu là gì?...],"['Vốn chủ sở hữu (Equity) = Tổng tài sản - Nợ phải trả, bao gồm vốn điều lệ, lợi nhuận giữ lại và các quỹ.']","Vốn chủ sở hữu là phần giá trị tài sản còn lại sau khi trừ nợ phải trả, gồm vốn góp, các quỹ, lợi nhuận chưa phân phối.",simple,0.8731,0.8294,0.7914,0.8855
Báo cáo lưu chuyển tiền tệ có những hoạt động nào?,[Generated answer for: Báo cáo lưu chuyển tiền tệ có những hoạt động nào?...],"['Báo cáo lưu chuyển tiền tệ phân chia dòng tiền thành 3 nhóm: kinh doanh, đầu tư và tài chính.']","Có 3 hoạt động: hoạt động kinh doanh, hoạt động đầu tư và hoạt động tài chính.",simple,0.9311,0.8745,0.845,0.8583
